policy number,Policy Effective Date,Vehicle number,Unique_ID,Rate Class,Driver Record,Territory (categorical),Territory,BI Limit,Blend Min & Maj Market Convictions for Model,# Criminal Code Convictions W/I 4 Years,# At-Fault Claims w/I 3 yrs for Market Principal,
A00-000134,2022-05-23 0:01,15,000134-15-18,18,3,Edmonton,1A,2000000,0,0,0,
A00-000134,2022-05-23 0:01,18,000134-18-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000134,2022-05-23 0:01,19,000134-19-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-000134,2022-05-23 0:01,20,000134-20-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-000145,2022-05-29 0:01,4,000145-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000145,2022-05-29 0:01,7,000145-7-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000163,2022-06-01 0:01,2,000163-2-66,66,9,Edmonton,1A,1000000,0,0,0,
A00-000163,2022-06-01 0:01,15,000163-15-7,7,9,Edmonton,1A,1000000,0,0,0,
A00-000163,2022-06-01 0:01,16,000163-16-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000164,2022-06-04 0:01,7,000164-7-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000173,2022-06-11 0:01,16,000173-16-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000173,2022-06-11 0:01,46,000173-46-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000173,2022-06-11 0:01,47,000173-47-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000173,2022-06-11 0:01,48,000173-48-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000180,2022-06-21 0:01,4,000180-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000182,2022-06-30 0:01,4,000182-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000194,2022-06-11 0:01,7,000194-7-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-000194,2022-06-11 0:01,8,000194-8-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000204,2022-06-22 0:01,1,000204-1-1,1,9,Edmonton,1A,0,0,0,0,
A00-000205,2022-06-22 0:01,5,000205-5-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000207,2022-06-22 0:01,4,000207-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000222,2022-06-28 0:01,7,000222-7-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-000222,2022-06-28 0:01,9,000222-9-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000222,2022-06-28 0:01,10,000222-10-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-000231,2022-07-03 0:01,8,000231-8-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000231,2022-07-03 0:01,14,000231-14-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000235,2022-07-07 0:01,7,000235-7-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000236,2022-07-15 0:01,5,000236-5-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-000238,2022-07-06 0:01,3,000238-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000239,2022-07-09 0:01,4,000239-4-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-000242,2022-07-24 0:01,14,000242-14-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000242,2022-07-24 0:01,15,000242-15-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-000244,2022-07-09 0:01,3,000244-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000249,2022-08-01 0:01,12,000249-12-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000249,2022-08-01 0:01,13,000249-13-3,3,9,Edmonton,1A,1000000,0,0,0,
A00-000249,2022-08-01 0:01,14,000249-14-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000258,2022-07-27 0:01,5,000258-5-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-000265,2022-07-17 0:01,27,000265-27-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-000271,2022-08-11 0:01,5,000271-5-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000277,2022-07-19 0:01,7,000277-7-7,7,9,Edmonton,1A,1000000,0,0,0,
A00-000280,2022-08-11 0:01,19,000280-19-19,19,6,Edmonton,1A,1000000,0,0,0,
A00-000280,2022-08-11 0:01,21,000280-21-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000290,2022-07-24 0:01,12,000290-12-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000290,2022-07-24 0:01,13,000290-13-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000290,2022-07-24 0:01,15,000290-15-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000291,2022-07-25 0:01,7,000291-7-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000291,2022-07-25 0:01,7,000291-7-6,6,3,Edmonton,1A,1000000,0,0,0,
A00-000297,2022-08-01 0:01,6,000297-6-1,1,6,Calgary,1,1000000,0,0,1,
A00-000304,2022-08-01 0:01,2,000304-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000304,2022-08-01 0:01,5,000304-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000305,2022-07-30 0:01,26,000305-26-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000305,2022-07-30 0:01,29,000305-29-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-000305,2022-07-30 0:01,30,000305-30-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000309,2022-08-03 0:01,5,000309-5-1,1,9,Calgary,1,1000000,0,0,0,
A00-000309,2022-08-03 0:01,7,000309-7-1,1,9,Calgary,1,1000000,0,0,0,
A00-000309,2022-08-03 0:01,8,000309-8-12,12,1,Calgary,1,1000000,0,0,0,
A00-000312,2022-08-03 0:01,3,000312-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000316,2022-08-15 0:01,5,000316-5-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-000316,2022-08-15 0:01,9,000316-9-1,1,9,Edmonton,1A,0,0,0,0,
A00-000316,2022-08-15 0:01,12,000316-12-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000318,2022-08-03 0:01,7,000318-7-2,2,9,Edmonton,1A,1000000,1,0,0,
A00-000331,2022-08-07 0:01,4,000331-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000343,2022-08-10 0:01,13,000343-13-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-000353,2022-08-24 0:01,14,000353-14-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000364,2022-08-17 0:01,8,000364-8-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000364,2022-08-17 0:01,9,000364-9-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000377,2022-08-22 0:01,4,000377-4-5,5,6,Edmonton,1A,1000000,0,0,0,
A00-000377,2022-08-22 0:01,4,000377-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000377,2022-08-22 0:01,6,000377-6-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000383,2022-08-26 0:01,4,000383-4-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-000384,2022-08-23 0:01,6,000384-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000387,2022-08-24 0:01,5,000387-5-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-000388,2022-08-24 0:01,6,000388-6-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000390,2022-08-27 0:01,5,000390-5-2,2,9,Rest of Alberta,3,2000000,0,0,0,
A00-000390,2022-08-27 0:01,6,000390-6-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-000393,2022-08-27 0:01,6,000393-6-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000402,2022-08-28 0:01,12,000402-12-1,1,9,Rest of Alberta,3,0,0,0,0,
A00-000402,2022-08-28 0:01,14,000402-14-18,18,2,Edmonton,1A,1000000,0,0,1,
A00-000402,2022-08-28 0:01,15,000402-15-2,2,9,Rest of Alberta,3,0,0,0,0,
A00-000402,2022-08-28 0:01,16,000402-16-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000402,2022-08-28 0:01,19,000402-19-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000410,2022-08-30 0:01,7,000410-7-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000410,2022-08-30 0:01,9,000410-9-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000410,2022-08-30 0:01,10,000410-10-66,66,9,Edmonton,1A,1000000,0,0,0,
A00-000410,2022-08-30 0:01,11,000410-11-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000420,2022-09-04 0:01,26,000420-26-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000422,2022-09-04 0:01,9,000422-9-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000441,2022-03-13 0:01,5,000441-5-1,1,6,Rest of Alberta,3,1000000,0,0,1,
A00-000451,2022-09-14 0:01,3,000451-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000462,2022-10-01 0:01,6,000462-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000462,2022-10-01 0:01,7,000462-7-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000471,2022-09-19 0:01,10,000471-10-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000483,2022-09-25 0:01,3,000483-3-2,2,9,Calgary,1,1000000,0,0,0,
A00-000483,2022-09-25 0:01,4,000483-4-1,1,9,Calgary,1,1000000,0,0,0,
A00-000484,2022-09-25 0:01,6,000484-6-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000485,2022-09-20 0:01,5,000485-5-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000489,2022-10-07 0:01,9,000489-9-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000489,2022-10-07 0:01,10,000489-10-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000502,2022-10-01 0:01,8,000502-8-1,1,7,Calgary,1,1000000,0,0,0,
A00-000502,2022-10-01 0:01,9,000502-9-1,1,9,Calgary,1,1000000,0,0,0,
A00-000510,2022-10-01 0:01,4,000510-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000510,2022-10-01 0:01,5,000510-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000527,2022-10-02 0:01,2,000527-2-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-000537,2022-09-22 0:01,9,000537-9-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000537,2022-09-22 0:01,13,000537-13-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000543,2022-10-07 0:01,4,000543-4-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000543,2022-10-07 0:01,6,000543-6-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000555,2022-10-10 0:01,8,000555-8-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000575,2022-10-12 0:01,3,000575-3-2,2,9,Calgary,1,1000000,0,0,0,
A00-000575,2022-10-12 0:01,6,000575-6-1,1,9,Calgary,1,1000000,0,0,0,
A00-000587,2022-10-15 0:01,8,000587-8-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000587,2022-10-15 0:01,9,000587-9-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000593,2022-10-16 0:01,3,000593-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000609,2022-10-19 0:01,2,000609-2-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000609,2022-10-19 0:01,5,000609-5-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000616,2022-10-22 0:01,4,000616-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000624,2022-10-22 0:01,18,000624-18-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-000624,2022-10-22 0:01,20,000624-20-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-000624,2022-10-22 0:01,21,000624-21-18,18,3,Edmonton,1A,2000000,0,0,0,
A00-000631,2022-11-01 0:01,4,000631-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000635,2022-10-24 0:01,17,000635-17-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000635,2022-10-24 0:01,18,000635-18-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000635,2022-10-24 0:01,21,000635-21-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000635,2022-10-24 0:01,22,000635-22-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000640,2022-10-25 0:01,6,000640-6-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000656,2022-10-25 0:01,4,000656-4-1,1,9,Edmonton,1A,200000,0,0,0,
A00-000659,2022-10-27 0:01,15,000659-15-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000659,2022-10-27 0:01,17,000659-17-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000665,2022-11-09 0:01,8,000665-8-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000671,2022-11-01 0:01,10,000671-10-1,1,7,Calgary,1,1000000,0,0,0,
A00-000671,2022-11-01 0:01,11,000671-11-1,1,9,Calgary,1,1000000,0,0,0,
A00-000671,2022-11-01 0:01,13,000671-13-10,10,1,Edmonton,1A,1000000,0,0,1,
A00-000671,2022-11-01 0:01,14,000671-14-1,1,9,Calgary,1,1000000,0,0,0,
A00-000673,2022-11-06 0:01,3,000673-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000675,2022-10-31 0:01,2,000675-2-10,10,1,Edmonton,1A,1000000,0,0,0,
A00-000675,2022-10-31 0:01,4,000675-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000695,2022-11-01 0:01,2,000695-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000697,2022-11-03 0:01,7,000697-7-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000697,2022-11-03 0:01,9,000697-9-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-000697,2022-11-03 0:01,10,000697-10-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-000705,2022-11-06 0:01,1,000705-1-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000711,2022-11-10 0:01,12,000711-12-1,1,9,Calgary,1,1000000,0,0,0,
A00-000714,2022-11-07 0:01,15,000714-15-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000714,2022-11-07 0:01,18,000714-18-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000721,2022-11-07 0:01,10,000721-10-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000731,2022-11-08 0:01,5,000731-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000750,2022-11-15 0:01,11,000750-11-2,2,6,Calgary,1,1000000,0,0,0,
A00-000750,2022-11-15 0:01,19,000750-19-1,1,9,Calgary,1,1000000,0,0,0,
A00-000755,2022-11-25 0:01,10,000755-10-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000755,2022-11-25 0:01,13,000755-13-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000756,2022-11-25 0:01,11,000756-11-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000764,2022-11-16 0:01,9,000764-9-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-000770,2022-11-17 0:01,5,000770-5-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000775,2022-11-17 0:01,4,000775-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000775,2022-11-17 0:01,7,000775-7-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000776,2022-11-17 0:01,4,000776-4-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000785,2022-11-19 0:01,5,000785-5-1,1,9,Calgary,1,1000000,0,0,0,
A00-000793,2022-11-30 0:01,3,000793-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000803,2022-11-21 0:01,5,000803-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000813,2022-11-23 0:01,4,000813-4-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000816,2022-11-24 0:01,10,000816-10-1,1,9,Calgary,1,1000000,0,0,0,
A00-000820,2022-11-24 0:01,2,000820-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000825,2022-11-28 0:01,9,000825-9-1,1,9,Rest of Alberta,3,500000,0,0,0,
A00-000825,2022-11-28 0:01,10,000825-10-2,2,9,Rest of Alberta,3,500000,0,0,0,
A00-000825,2022-11-28 0:01,11,000825-11-2,2,9,Rest of Alberta,3,500000,0,0,0,
A00-000830,2022-12-01 0:01,7,000830-7-1,1,5,Rest of Alberta,3,1000000,0,0,0,
A00-000830,2022-12-01 0:01,8,000830-8-1,1,5,Rest of Alberta,3,1000000,0,0,0,
A00-000837,2022-11-29 0:01,10,000837-10-1,1,9,Calgary,1,1000000,0,0,0,
A00-000857,2022-12-12 0:01,16,000857-16-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000857,2022-12-12 0:01,16,000857-16-5,5,3,Edmonton,1A,1000000,0,0,0,
A00-000857,2022-12-12 0:01,17,000857-17-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000857,2022-12-12 0:01,17,000857-17-6,6,1,Edmonton,1A,1000000,0,0,0,
A00-000857,2022-12-12 0:01,19,000857-19-1,1,9,Edmonton,1A,0,0,0,0,
A00-000863,2022-12-03 0:01,13,000863-13-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000863,2022-12-03 0:01,22,000863-22-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000863,2022-12-03 0:01,24,000863-24-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000863,2022-12-03 0:01,26,000863-26-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000864,2022-12-09 0:01,7,000864-7-1,1,9,Calgary,1,2000000,1,0,0,
A00-000864,2022-12-09 0:01,8,000864-8-1,1,9,Calgary,1,2000000,0,0,0,
A00-000864,2022-12-09 0:01,10,000864-10-13,13,1,Calgary,1,2000000,0,0,1,
A00-000881,2022-12-06 0:01,26,000881-26-7,7,9,Northern Region,2,1000000,0,0,0,
A00-000881,2022-12-06 0:01,28,000881-28-1,1,9,Northern Region,2,1000000,0,0,0,
A00-000881,2022-12-06 0:01,29,000881-29-1,1,9,Northern Region,2,1000000,0,0,0,
A00-000884,2022-12-08 0:01,4,000884-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000884,2022-12-08 0:01,10,000884-10-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000884,2022-12-08 0:01,11,000884-11-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000884,2022-12-08 0:01,16,000884-16-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000884,2022-12-08 0:01,17,000884-17-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000888,2022-12-11 0:01,2,000888-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000890,2022-12-08 0:01,3,000890-3-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-000890,2022-12-08 0:01,4,000890-4-1,1,7,Rest of Alberta,3,0,1,0,0,
A00-000894,2022-12-13 0:01,2,000894-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000900,2022-12-10 0:01,3,000900-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000915,2022-01-08 0:01,7,000915-7-2,2,9,Calgary,1,1000000,0,0,0,
A00-000921,2022-12-07 0:01,4,000921-4-2,2,9,Calgary,1,1000000,0,0,0,
A00-000940,2022-12-18 0:01,4,000940-4-7,7,9,Edmonton,1A,2000000,0,0,0,
A00-000953,2022-12-19 0:01,7,000953-7-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-000957,2022-12-20 0:01,5,000957-5-1,1,9,Calgary,1,1000000,0,0,0,
A00-000957,2022-12-20 0:01,6,000957-6-1,1,9,Calgary,1,1000000,0,0,0,
A00-000959,2022-12-20 0:01,6,000959-6-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000959,2022-12-20 0:01,9,000959-9-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-000959,2022-12-20 0:01,10,000959-10-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000961,2022-12-24 0:01,6,000961-6-2,2,9,Calgary,1,1000000,0,0,0,
A00-000977,2022-12-29 0:01,13,000977-13-2,2,9,Calgary,1,2000000,0,0,0,
A00-000977,2022-12-29 0:01,14,000977-14-1,1,9,Calgary,1,2000000,0,0,0,
A00-000994,2022-01-03 0:01,4,000994-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000995,2022-01-03 0:01,5,000995-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000995,2022-01-03 0:01,6,000995-6-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000997,2022-01-04 0:01,5,000997-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001010,2022-01-04 0:01,5,001010-5-1,1,9,Edmonton,1A,0,0,0,0,
A00-001010,2022-01-04 0:01,6,001010-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001020,2022-01-13 0:01,2,001020-2-1,1,5,Calgary,1,1000000,0,0,0,
A00-001020,2022-01-13 0:01,3,001020-3-1,1,5,Calgary,1,1000000,0,0,0,
A00-001026,2022-01-12 0:01,4,001026-4-1,1,9,Calgary,1,1000000,0,0,0,
A00-001034,2022-01-15 0:01,5,001034-5-1,1,9,Calgary,1,1000000,0,0,0,
A00-001043,2022-02-11 0:01,1,001043-1-1,1,9,Edmonton,1A,0,0,0,0,
A00-001043,2022-02-11 0:01,3,001043-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001046,2022-01-24 0:01,5,001046-5-1,1,8,Edmonton,1A,0,0,0,0,
A00-001046,2022-01-24 0:01,12,001046-12-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001046,2022-01-24 0:01,16,001046-16-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-001048,2022-01-23 0:01,6,001048-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001048,2022-01-23 0:01,8,001048-8-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-001049,2022-01-21 0:01,3,001049-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001052,2022-02-01 0:01,3,001052-3-1,1,9,Calgary,1,2000000,0,0,0,
A00-001057,2022-01-24 0:01,5,001057-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001061,2022-02-01 0:01,16,001061-16-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-001061,2022-02-01 0:01,17,001061-17-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-001061,2022-02-01 0:01,18,001061-18-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-001065,2022-01-25 0:01,3,001065-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001065,2022-01-25 0:01,4,001065-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001084,2022-02-01 0:01,4,001084-4-3,3,9,Calgary,1,1000000,0,0,0,
A00-001084,2022-02-01 0:01,6,001084-6-1,1,9,Calgary,1,1000000,0,0,0,
A00-001085,2022-01-31 0:01,5,001085-5-1,1,9,Calgary,1,1000000,0,0,0,
A00-001088,2022-02-01 0:01,8,001088-8-7,7,9,Calgary,1,2000000,0,0,0,
A00-001090,2022-02-01 0:01,2,001090-2-1,1,9,Edmonton,1A,0,0,0,0,
A00-001090,2022-02-01 0:01,5,001090-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001090,2022-02-01 0:01,6,001090-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-001090,2022-02-01 0:01,11,001090-11-1,1,9,Edmonton,1A,1000000,0,0,0,
