Driver Record,Territory,Grid Step,Number of  Minor Convictions,Number of Major Convictions,# Criminal Code Convictions,Number of At Fault Claims,Claim Amount,NumGen,Claim Amount Gen
9,TheWall,-15,2,2,0,2,72900,0.773,56349.91278
9,TheWall,-15,2,2,0,2,72900,0.382,27864.44318
3,TheWall,-2,1,1,0,1,36400,0.027,995.1478858
9,TheWall,-15,2,2,0,2,72900,0.050,3632.698422
9,TheWall,-15,2,2,0,2,72900,0.455,33183.4041
9,TheWall,-15,2,2,0,2,72900,0.456,33278.36138
9,TheWall,-12,2,2,0,2,72600,0.853,61963.50769
9,HighGarden,-15,2,2,0,2,72900,0.443,32282.14431
9,TheWall,-15,2,2,0,2,72900,0.645,47051.7916
9,TheWall,-15,2,2,0,2,72900,0.352,25648.23679
9,TheWall,-15,2,2,0,2,72900,0.803,58561.26115
9,TheWall,-15,2,2,0,2,72900,0.361,26350.7952
9,TheWall,-15,2,2,0,2,72900,0.881,64204.18282
9,TheWall,-15,2,2,0,2,72900,0.955,69650.2293
9,TheWall,-15,2,2,0,2,72900,0.526,38372.3932
9,TheWall,-15,2,2,0,2,72900,0.492,35844.35908
9,TheWall,-15,2,2,0,2,72900,0.696,50760.65582
9,TheWall,-15,2,2,0,2,72900,0.794,57891.30568
8,TheWall,-15,2,2,0,2,72900,0.321,23413.57279
9,TheWall,-15,2,2,0,2,72900,0.062,4554.177476
9,TheWall,-15,2,2,0,2,72900,0.993,72356.51113
9,TheWall,-15,2,2,0,2,72900,0.559,40723.50139
9,TheWall,-15,2,2,0,2,72900,0.159,11605.01363
6,TheWall,-6,2,2,0,2,72000,0.721,51908.68219
9,TheWall,-15,2,2,0,2,72900,0.153,11125.72979
6,TheWall,-15,2,2,0,2,72900,0.623,45408.90091
9,HighGarden,-15,2,2,0,2,72900,0.435,31681.25129
9,TheWall,-15,2,2,0,2,72900,0.096,6997.977886
9,TheWall,-15,2,2,0,2,72900,0.896,65338.50184
9,HighGarden,-15,2,2,0,2,72900,0.632,46059.7068
9,TheWall,-15,2,2,0,2,72900,0.735,53591.18216
9,HighGarden,-10,2,2,0,2,72400,0.412,29842.81455
9,TheWall,-15,2,2,0,2,72900,0.759,55360.21262
7,TheWall,-15,2,2,0,2,72900,0.414,30165.83354
9,TheWall,-15,2,2,0,2,72900,0.551,40149.73462
9,HighGarden,-15,2,2,0,2,72900,0.460,33499.24205
9,TheWall,-15,2,2,0,2,72900,0.426,31036.87579
9,HighGarden,-15,2,2,0,2,72900,0.584,42580.8917
7,TheWall,-15,2,2,0,2,72900,0.548,39946.29217
5,TheWall,-13,2,2,0,2,72700,0.380,27616.50207
9,TheWall,-15,2,2,0,2,72900,0.885,64543.68314
9,TheWall,-15,2,2,0,2,72900,0.778,56732.79377
6,TheWall,-6,2,2,0,2,72000,0.200,14412.07162
9,TheWall,-15,2,2,0,2,72900,0.637,46456.03727
9,TheWall,-15,2,2,0,2,72900,0.600,43749.60619
9,TheWall,-15,2,2,0,2,72900,0.965,70351.34281
9,TheWall,-15,2,2,0,2,72900,0.341,24890.06842
9,TheWall,-15,2,2,0,2,72900,0.509,37090.29178
3,TheWall,-2,1,1,0,1,36400,0.318,11577.83455
6,Dorn,-5,1,1,0,1,36700,0.254,9322.664222
9,TheWall,-15,2,2,0,2,72900,0.369,26878.84319
9,TheWall,-15,2,2,0,2,72900,0.266,19371.42438
9,HighGarden,-15,2,2,0,2,72900,0.103,7539.715013
9,HighGarden,-15,2,2,0,2,72900,0.874,63738.93756
9,HighGarden,-15,2,2,0,2,72900,0.696,50741.94923
9,Dorn,-15,2,2,0,2,72900,0.670,48812.1041
9,Dorn,-15,2,2,0,2,72900,0.692,50480.46104
1,Dorn,1,0,0,0,0,900,0.551,496.1225961
9,TheWall,-15,2,2,0,2,72900,0.052,3821.120436
5,TheWall,-13,2,2,0,2,72700,0.432,31398.97058
9,TheWall,-15,2,2,0,2,72900,0.890,64882.52135
9,TheWall,-15,2,2,0,2,72900,0.181,13180.01431
9,TheWall,-15,2,2,0,2,72900,0.883,64343.33662
9,TheWall,-15,2,2,0,2,72900,0.179,13053.90458
9,HighGarden,-15,2,2,0,2,72900,0.650,47363.44903
9,TheWall,-15,2,2,0,2,72900,0.648,47273.80995
9,HighGarden,-15,2,2,0,2,72900,0.584,42540.95062
9,HighGarden,-15,2,2,0,2,72900,0.364,26569.7936
9,TheWall,-15,2,2,0,2,72900,0.842,61407.87757
6,TheWall,-1,1,1,0,1,36300,0.224,8131.733446
9,TheWall,-15,2,2,0,2,72900,0.240,17473.02524
9,HighGarden,-15,2,2,0,2,72900,0.020,1493.972021
9,TheWall,-15,2,2,0,2,72900,0.654,47687.24623
7,TheWall,-15,2,2,0,2,72900,0.840,61212.31586
9,TheWall,-15,2,2,0,2,72900,0.926,67506.22085
9,HighGarden,-15,2,2,0,2,72900,0.474,34583.84163
9,HighGarden,-15,2,2,0,2,72900,0.635,46304.20601
9,TheWall,-15,2,2,0,2,72900,0.946,68978.8563
9,HighGarden,-15,2,2,0,2,72900,0.727,52972.20438
2,TheWall,1,0,0,0,0,900,0.682,613.6897303
9,HighGarden,-15,2,2,0,2,72900,0.108,7857.370332
9,TheWall,-15,2,2,0,2,72900,0.352,25696.95845
9,HighGarden,-15,2,2,0,2,72900,0.606,44168.95991
9,TheWall,-15,2,2,0,2,72900,0.350,25485.62123
9,TheWall,-15,2,2,0,2,72900,0.161,11711.53244
9,TheWall,-15,2,2,0,2,72900,0.131,9545.798618
9,TheWall,-15,2,2,0,2,72900,0.688,50158.97178
9,TheWall,-15,2,2,0,2,72900,0.296,21570.70588
9,TheWall,-15,2,2,0,2,72900,0.495,36121.43954
6,HighGarden,-15,2,2,0,2,72900,0.595,43348.645
9,TheWall,-15,2,2,0,2,72900,0.714,52021.47537
9,TheWall,-13,2,2,0,2,72700,0.670,48722.90833
9,TheWall,-13,2,2,0,2,72700,0.089,6448.063497
9,TheWall,-15,2,2,0,2,72900,0.676,49281.70387
9,Dorn,-15,2,2,0,2,72900,0.451,32889.56653
9,Dorn,-15,2,2,0,2,72900,0.827,60261.45905
9,TheWall,-15,2,2,0,2,72900,0.136,9884.253264
9,TheWall,-15,2,2,0,2,72900,0.215,15639.5149
9,TheWall,-15,2,2,0,2,72900,0.021,1503.233168
9,TheWall,-15,2,2,0,2,72900,0.307,22399.68344
7,Dorn,-7,2,2,0,2,72100,0.941,67859.79317
9,Dorn,-15,2,2,0,2,72900,0.608,44309.82919
9,TheWall,-15,2,2,0,2,72900,0.528,38468.78996
9,TheWall,-15,2,2,0,2,72900,0.258,18795.33244
9,HighGarden,-15,2,2,0,2,72900,0.929,67748.38249
9,HighGarden,-15,2,2,0,2,72900,0.427,31131.11151
9,HighGarden,-15,2,2,0,2,72900,0.207,15102.96564
9,TheWall,-15,2,2,0,2,72900,0.571,41650.81269
9,TheWall,-15,2,2,0,2,72900,0.504,36726.91129
9,TheWall,-15,2,2,0,2,72900,0.773,56322.45821
9,Dorn,-15,2,2,0,2,72900,0.801,58366.31817
9,Dorn,-15,2,2,0,2,72900,0.419,30521.68453
9,TheWall,-15,2,2,0,2,72900,0.489,35626.72466
9,TheWall,-15,2,2,0,2,72900,0.504,36721.47878
9,TheWall,-15,2,2,0,2,72900,0.339,24679.06908
9,HighGarden,-14,2,2,0,2,72800,0.367,26725.66523
9,HighGarden,-15,2,2,0,2,72900,0.327,23873.20766
9,TheWall,-15,2,2,0,2,72900,0.951,69351.51769
9,TheWall,-15,2,2,0,2,72900,0.872,63537.48512
9,TheWall,-15,2,2,0,2,72900,0.482,35108.14096
3,TheWall,-2,1,1,0,1,36400,0.119,4337.58496
9,TheWall,-14,2,2,0,2,72800,0.758,55159.05234
9,HighGarden,-15,2,2,0,2,72900,0.283,20654.0213
9,HighGarden,-15,2,2,0,2,72900,0.544,39645.87793
9,HighGarden,-15,2,2,0,2,72900,0.641,46760.43018
9,HighGarden,-15,2,2,0,2,72900,0.819,59712.20934
9,TheWall,-15,2,2,0,2,72900,0.554,40375.09471
9,TheWall,-15,2,2,0,2,72900,0.724,52810.42288
9,HighGarden,-15,2,2,0,2,72900,0.401,29257.97018
9,TheWall,-15,2,2,0,2,72900,0.281,20456.82007
9,HighGarden,-15,2,2,0,2,72900,0.253,18432.56668
7,Dorn,-13,2,2,0,2,72700,0.163,11874.02405
9,Dorn,-15,2,2,0,2,72900,0.168,12245.57708
1,TheWall,2,0,0,0,0,800,0.069,55.52073685
9,Dorn,-15,2,2,0,2,72900,0.584,42599.18253
9,TheWall,-15,2,2,0,2,72900,0.846,61647.79604
1,TheWall,0,0,0,0,0,1000,0.525,525.3922679
9,TheWall,-15,2,2,0,2,72900,0.926,67476.80682
9,TheWall,-15,2,2,0,2,72900,0.418,30449.23799
9,TheWall,-15,2,2,0,2,72900,0.978,71286.11225
6,TheWall,-15,2,2,0,2,72900,0.694,50567.97148
6,TheWall,-15,2,2,0,2,72900,0.833,60750.622
9,TheWall,-12,2,2,0,2,72600,0.725,52653.70065
9,Dorn,-15,2,2,0,2,72900,0.904,65897.25563
9,HighGarden,-15,2,2,0,2,72900,0.494,35994.62286
9,HighGarden,-15,2,2,0,2,72900,0.192,14033.08564
9,TheWall,-15,2,2,0,2,72900,0.147,10700.94199
9,TheWall,-15,2,2,0,2,72900,0.983,71679.13612
6,Dorn,-15,2,2,0,2,72900,0.823,59987.92864
9,Dorn,-15,2,2,0,2,72900,0.414,30208.60651
9,TheWall,-15,2,2,0,2,72900,0.522,38088.75034
9,TheWall,-15,2,2,0,2,72900,0.187,13648.21812
9,TheWall,-15,2,2,0,2,72900,0.642,46784.82609
9,TheWall,-15,2,2,0,2,72900,0.087,6366.261287
9,TheWall,-15,2,2,0,2,72900,0.574,41849.86254
9,TheWall,-15,2,2,0,2,72900,0.933,67993.9841
9,TheWall,-15,2,2,0,2,72900,0.612,44615.62492
9,HighGarden,-15,2,2,0,2,72900,0.472,34425.42956
9,Dorn,-15,2,2,0,2,72900,0.516,37627.19424
9,TheWall,-15,2,2,0,2,72900,0.146,10644.3617
9,TheWall,-15,2,2,0,2,72900,0.614,44781.37414
9,HighGarden,-15,2,2,0,2,72900,0.101,7348.74964
9,Dorn,-15,2,2,0,2,72900,0.465,33876.11559
9,TheWall,-15,2,2,0,2,72900,0.328,23891.28492
9,HighGarden,-15,2,2,0,2,72900,0.028,2009.097765
9,HighGarden,-15,2,2,0,2,72900,0.081,5936.960484
9,HighGarden,-15,2,2,0,2,72900,0.949,69151.48611
5,HighGarden,-14,2,2,0,2,72800,0.534,38849.36283
5,HighGarden,-14,2,2,0,2,72800,0.161,11706.74313
9,Dorn,-15,2,2,0,2,72900,0.871,63489.16052
9,TheWall,-15,2,2,0,2,72900,0.254,18504.55418
3,TheWall,-3,1,1,0,1,36500,0.088,3196.241332
9,TheWall,-15,2,2,0,2,72900,0.536,39097.25748
1,TheWall,0,0,0,0,0,1000,0.275,274.511447
9,TheWall,-15,2,2,0,2,72900,0.869,63338.29837
9,HighGarden,-15,2,2,0,2,72900,0.206,14994.41639
9,HighGarden,-15,2,2,0,2,72900,0.736,53681.81759
9,HighGarden,-15,2,2,0,2,72900,0.146,10629.00334
9,HighGarden,-15,2,2,0,2,72900,0.676,49256.87395
9,Dorn,-15,2,2,0,2,72900,0.374,27287.7451
9,Dorn,-15,2,2,0,2,72900,0.772,56270.49686
1,Dorn,2,0,0,0,0,800,0.023,18.43048887
9,Winterfell,-15,2,2,0,2,72900,0.593,43253.11218
9,Winterfell,-15,2,2,0,2,72900,0.175,12746.97595
9,Winterfell,-15,2,2,0,2,72900,0.794,57849.0087
9,TheWall,-15,2,2,0,2,72900,0.986,71902.04532
9,TheWall,-15,2,2,0,2,72900,0.112,8161.216375
9,TheWall,-15,2,2,0,2,72900,0.101,7397.924327
9,TheWall,-15,2,2,0,2,72900,0.874,63724.33983
9,TheWall,-15,2,2,0,2,72900,0.961,70090.27558
9,TheWall,-15,2,2,0,2,72900,0.348,25341.88269
9,HighGarden,-15,2,2,0,2,72900,0.405,29513.1438
7,HighGarden,-15,2,2,0,2,72900,0.990,72202.05289
9,TheWall,-15,2,2,0,2,72900,0.605,44112.19331
9,TheWall,-15,2,2,0,2,72900,0.845,61605.28452
9,Dorn,-15,2,2,0,2,72900,0.483,35213.60956
9,Dorn,-15,2,2,0,2,72900,0.753,54894.41648
9,TheWall,-15,2,2,0,2,72900,0.075,5484.876591
9,HighGarden,-15,2,2,0,2,72900,0.464,33846.56163
9,Dorn,-15,2,2,0,2,72900,0.076,5571.893759
9,Dorn,-15,2,2,0,2,72900,0.295,21533.1608
9,TheWall,-15,2,2,0,2,72900,0.495,36069.33282
9,TheWall,-15,2,2,0,2,72900,0.058,4195.552558
9,TheWall,-15,2,2,0,2,72900,0.556,40505.90293
9,Dorn,-15,2,2,0,2,72900,0.537,39179.0157
9,Dorn,-15,2,2,0,2,72900,0.710,51783.41555
9,Dorn,-15,2,2,0,2,72900,0.212,15444.17675
9,TheWall,-15,2,2,0,2,72900,0.254,18501.91317
9,TheWall,-15,2,2,0,2,72900,0.136,9926.501153
9,TheWall,-15,2,2,0,2,72900,0.262,19108.94144
9,TheWall,-15,2,2,0,2,72900,0.527,38394.51793
9,TheWall,-15,2,2,0,2,72900,0.906,66024.90172
9,TheWall,-15,2,2,0,2,72900,0.548,39960.56005
5,Dorn,-14,2,2,0,2,72800,0.195,14167.29115
5,Dorn,-14,2,2,0,2,72800,0.967,70382.08413
9,Dorn,-15,2,2,0,2,72900,0.971,70783.65272
9,Dorn,-15,2,2,0,2,72900,0.585,42677.22257
9,TheWall,-15,2,2,0,2,72900,0.293,21347.20164
9,TheWall,-15,2,2,0,2,72900,0.298,21730.90082
8,TheWall,-15,2,2,0,2,72900,0.441,32176.12294
9,TheWall,-15,2,2,0,2,72900,0.080,5796.285931
8,TheWall,-15,2,2,0,2,72900,0.569,41510.77098
9,TheWall,-15,2,2,0,2,72900,0.831,60609.86481
9,TheWall,-15,2,2,0,2,72900,0.044,3243.103207
9,TheWall,-15,2,2,0,2,72900,0.106,7749.291119
9,Dorn,-15,2,2,0,2,72900,0.162,11801.54879
9,TheWall,-15,2,2,0,2,72900,0.258,18803.0313
9,HighGarden,-15,2,2,0,2,72900,0.031,2234.632447
9,HighGarden,-15,2,2,0,2,72900,0.675,49201.51241
9,HighGarden,-15,2,2,0,2,72900,0.113,8221.814209
9,TheWall,-15,2,2,0,2,72900,0.010,754.0685739
9,TheWall,-15,2,2,0,2,72900,0.178,13009.89758
9,Dorn,-15,2,2,0,2,72900,0.513,37374.39689
9,Dorn,-15,2,2,0,2,72900,0.907,66144.42231
9,Dorn,-15,2,2,0,2,72900,0.814,59341.1073
9,Dorn,-15,2,2,0,2,72900,0.175,12738.31265
9,TheWall,-15,2,2,0,2,72900,0.618,45028.0755
9,TheWall,-15,2,2,0,2,72900,0.707,51574.3365
9,TheWall,-15,2,2,0,2,72900,0.269,19581.07098
9,TheWall,-15,2,2,0,2,72900,0.588,42855.9313
9,TheWall,-15,2,2,0,2,72900,0.082,5979.564854
9,TheWall,-15,2,2,0,2,72900,0.305,22202.53393
9,TheWall,-15,2,2,0,2,72900,0.475,34651.92673
9,TheWall,-15,2,2,0,2,72900,0.123,8985.216044
9,HighGarden,-15,2,2,0,2,72900,0.657,47894.34704
9,HighGarden,-15,2,2,0,2,72900,0.816,59508.87227
9,TheWall,-15,2,2,0,2,72900,0.912,66512.28707
9,TheWall,-15,2,2,0,2,72900,0.379,27640.88872
9,TheWall,-15,2,2,0,2,72900,0.177,12866.91144
9,TheWall,-10,2,2,0,2,72400,0.233,16852.1662
9,TheWall,-15,2,2,0,2,72900,0.072,5234.735826
9,TheWall,-15,2,2,0,2,72900,0.334,24338.92291
9,TheWall,-15,2,2,0,2,72900,0.147,10686.31724
9,TheWall,-15,2,2,0,2,72900,0.255,18591.63094
9,TheWall,-15,2,2,0,2,72900,0.889,64837.89054
9,Dorn,-15,2,2,0,2,72900,0.499,36352.37655
9,Dorn,-15,2,2,0,2,72900,0.549,40037.87802
9,Dorn,-15,2,2,0,2,72900,0.226,16496.27956
9,TheWall,-15,2,2,0,2,72900,0.050,3671.964346
9,TheWall,-15,2,2,0,2,72900,0.970,70706.68274
9,TheWall,-15,2,2,0,2,72900,0.758,55264.64595
9,TheWall,-15,2,2,0,2,72900,0.555,40458.39001
9,TheWall,-13,2,2,0,2,72700,0.238,17278.48162
9,TheWall,-15,2,2,0,2,72900,0.118,8600.668289
7,TheWall,-15,2,2,0,2,72900,0.165,12022.79514
9,TheWall,-15,2,2,0,2,72900,0.971,70776.33432
9,TheWall,-15,2,2,0,2,72900,0.045,3257.333107
9,TheWall,-15,2,2,0,2,72900,0.863,62925.92235
9,TheWall,-15,2,2,0,2,72900,0.978,71310.59302
9,TheWall,-15,2,2,0,2,72900,0.966,70438.68423
9,TheWall,-15,2,2,0,2,72900,0.839,61180.33116
9,TheWall,-15,2,2,0,2,72900,0.016,1179.246918
9,TheWall,-15,2,2,0,2,72900,0.258,18841.45454
9,TheWall,-15,2,2,0,2,72900,0.052,3816.600429
9,TheWall,-15,2,2,0,2,72900,0.340,24820.28853
9,TheWall,-15,2,2,0,2,72900,0.703,51231.41911
9,TheWall,-15,2,2,0,2,72900,0.307,22374.44616
9,TheWall,-15,2,2,0,2,72900,0.023,1647.123471
9,HighGarden,-15,2,2,0,2,72900,0.185,13472.31596
9,HighGarden,-15,2,2,0,2,72900,0.367,26718.91728
9,HighGarden,-15,2,2,0,2,72900,0.663,48355.03641
9,TheWall,-15,2,2,0,2,72900,0.534,38928.53438
9,TheWall,-15,2,2,0,2,72900,0.789,57527.8184
6,TheWall,-10,2,2,0,2,72400,0.947,68582.63385
5,TheWall,-5,1,1,0,1,36700,0.136,5002.262851
9,TheWall,-15,2,2,0,2,72900,0.485,35363.5753
9,TheWall,-15,2,2,0,2,72900,0.272,19856.06323
9,Winterfell,-15,2,2,0,2,72900,0.407,29706.54101
9,Winterfell,-15,2,2,0,2,72900,0.491,35822.48671
9,TheWall,-10,2,2,0,2,72400,0.333,24145.28629
9,TheWall,-10,2,2,0,2,72400,0.836,60508.44004
7,TheWall,-10,2,2,0,2,72400,0.130,9425.839075
9,TheWall,-15,2,2,0,2,72900,0.064,4697.294823
9,HighGarden,-15,2,2,0,2,72900,0.856,62416.22371
9,HighGarden,-15,2,2,0,2,72900,0.760,55413.22402
9,TheWall,-15,2,2,0,2,72900,0.246,17906.61325
9,TheWall,-15,2,2,0,2,72900,0.911,66376.04599
5,Dorn,-13,2,2,0,2,72700,0.206,14945.9596
9,Dorn,-15,2,2,0,2,72900,0.354,25841.43502
9,TheWall,-15,2,2,0,2,72900,0.321,23418.63103
9,TheWall,-15,2,2,0,2,72900,0.875,63756.47389
9,HighGarden,-15,2,2,0,2,72900,0.793,57841.72464
2,TheWall,1,0,0,0,0,900,0.087,78.63129718
9,HighGarden,-12,2,2,0,2,72600,0.628,45582.12259
9,HighGarden,-12,2,2,0,2,72600,0.742,53843.20385
9,HighGarden,-12,2,2,0,2,72600,0.536,38948.16052
9,HighGarden,-15,2,2,0,2,72900,0.574,41816.74035
9,HighGarden,-15,2,2,0,2,72900,0.682,49717.60298
9,HighGarden,-15,2,2,0,2,72900,0.148,10825.30891
9,HighGarden,-15,2,2,0,2,72900,0.512,37289.34704
9,HighGarden,-15,2,2,0,2,72900,0.535,38969.34549
8,TheWall,-15,2,2,0,2,72900,0.120,8718.652527
8,TheWall,-15,2,2,0,2,72900,0.268,19567.67986
8,TheWall,-15,2,2,0,2,72900,0.179,13039.00727
6,TheWall,-15,2,2,0,2,72900,0.393,28676.53531
9,Dorn,-15,2,2,0,2,72900,0.820,59804.87664
9,Dorn,-15,2,2,0,2,72900,0.553,40287.91151
3,Dorn,-2,1,1,0,1,36400,0.617,22448.83029
3,Dorn,-2,1,1,0,1,36400,0.295,10742.54314
9,TheWall,-15,2,2,0,2,72900,0.582,42461.54113
9,TheWall,-15,2,2,0,2,72900,0.948,69131.53806
9,TheWall,-15,2,2,0,2,72900,0.455,33139.88227
3,TheWall,-2,1,1,0,1,36400,0.779,28345.49656
9,Dorn,-15,2,2,0,2,72900,0.053,3869.567332
9,TheWall,-15,2,2,0,2,72900,0.455,33179.11058
5,TheWall,-15,2,2,0,2,72900,0.493,35913.33387
9,TheWall,-15,2,2,0,2,72900,0.521,37966.40181
9,TheWall,-15,2,2,0,2,72900,0.207,15096.4801
9,Dorn,-15,2,2,0,2,72900,0.267,19494.96142
9,Dorn,-15,2,2,0,2,72900,0.182,13281.99094
9,Dorn,-15,2,2,0,2,72900,0.506,36851.70297
9,TheWall,-15,2,2,0,2,72900,0.115,8380.881124
6,HighGarden,-8,2,2,0,2,72200,0.530,38282.43917
9,TheWall,-15,2,2,0,2,72900,0.607,44260.95956
9,TheWall,-15,2,2,0,2,72900,0.006,472.6120296
9,Dorn,-15,2,2,0,2,72900,0.303,22107.92498
9,Dorn,-15,2,2,0,2,72900,0.485,35386.75455
9,TheWall,-15,2,2,0,2,72900,0.605,44084.81032
9,Dorn,-15,2,2,0,2,72900,0.301,21913.78196
9,TheWall,-15,2,2,0,2,72900,0.919,66971.35992
9,TheWall,-15,2,2,0,2,72900,0.423,30826.4801
9,TheWall,-15,2,2,0,2,72900,0.299,21788.38371
5,TheWall,-11,2,2,0,2,72500,0.792,57427.06547
9,HighGarden,-15,2,2,0,2,72900,0.357,25990.27464
9,HighGarden,-15,2,2,0,2,72900,0.442,32216.46741
9,TheWall,-15,2,2,0,2,72900,0.114,8313.134254
9,TheWall,-15,2,2,0,2,72900,0.052,3798.696426
9,HighGarden,-15,2,2,0,2,72900,0.614,44743.28104
5,TheWall,-15,2,2,0,2,72900,0.535,39023.39215
9,TheWall,-15,2,2,0,2,72900,0.044,3182.380475
9,TheWall,-15,2,2,0,2,72900,0.851,62028.23365
9,TheWall,-15,2,2,0,2,72900,0.213,15561.20265
9,TheWall,-15,2,2,0,2,72900,0.184,13415.56874
9,TheWall,-15,2,2,0,2,72900,0.693,50554.71013
9,HighGarden,-15,2,2,0,2,72900,0.674,49098.65443
9,TheWall,-15,2,2,0,2,72900,0.456,33236.04681
9,TheWall,-15,2,2,0,2,72900,0.005,366.467094
9,TheWall,-15,2,2,0,2,72900,0.531,38690.47977
9,TheWall,-15,2,2,0,2,72900,0.247,17989.61321
9,TheWall,-12,2,2,0,2,72600,0.465,33782.24626
9,TheWall,-12,2,2,0,2,72600,0.648,47015.38826
9,TheWall,-15,2,2,0,2,72900,0.043,3166.519801
9,Dorn,-15,2,2,0,2,72900,0.510,37159.84177
6,Dorn,-15,2,2,0,2,72900,0.111,8070.885692
9,TheWall,-15,2,2,0,2,72900,0.111,8120.768792
9,TheWall,-15,2,2,0,2,72900,0.101,7361.762173
9,Dorn,-15,2,2,0,2,72900,0.618,45021.58751
8,HighGarden,-15,2,2,0,2,72900,0.931,67863.73118
9,HighGarden,-15,2,2,0,2,72900,0.839,61169.98541
8,HighGarden,-15,2,2,0,2,72900,0.253,18410.77259
5,TheWall,-10,2,2,0,2,72400,0.575,41609.93414
5,TheWall,-10,2,2,0,2,72400,0.997,72173.22281
9,HighGarden,-15,2,2,0,2,72900,0.200,14568.38697
9,TheWall,-15,2,2,0,2,72900,0.194,14130.47154
9,TheWall,-15,2,2,0,2,72900,0.767,55919.28138
9,TheWall,-15,2,2,0,2,72900,0.515,37549.35917
9,TheWall,-15,2,2,0,2,72900,0.033,2402.537236
0,TheWall,2,0,0,0,0,800,0.370,295.9981216
8,TheWall,-15,2,2,0,2,72900,0.452,32919.5347
3,TheWall,-3,1,1,0,1,36500,0.957,34925.81446
9,TheWall,-15,2,2,0,2,72900,0.596,43424.32541
3,TheWall,-2,1,1,0,1,36400,0.563,20491.94355
9,TheWall,-15,2,2,0,2,72900,0.558,40642.88013
9,HighGarden,-15,2,2,0,2,72900,0.137,10022.58406
9,HighGarden,-15,2,2,0,2,72900,0.372,27127.65384
9,HighGarden,-15,2,2,0,2,72900,0.264,19249.59767
9,HighGarden,-15,2,2,0,2,72900,0.054,3907.748946
9,HighGarden,-15,2,2,0,2,72900,0.990,72185.81579
9,HighGarden,-15,2,2,0,2,72900,0.968,70543.28275
9,TheWall,-15,2,2,0,2,72900,0.963,70180.72783
9,TheWall,-11,2,2,0,2,72500,0.605,43846.10496
9,TheWall,-15,2,2,0,2,72900,0.076,5563.717249
9,TheWall,-15,2,2,0,2,72900,0.029,2129.906035
9,TheWall,-15,2,2,0,2,72900,0.836,60966.17867
9,HighGarden,-15,2,2,0,2,72900,0.702,51153.5561
9,Dorn,-15,2,2,0,2,72900,0.101,7380.285975
9,TheWall,-15,2,2,0,2,72900,0.937,68291.58479
9,TheWall,-15,2,2,0,2,72900,0.516,37624.10355
9,Dorn,-15,2,2,0,2,72900,0.460,33506.24478
5,Dorn,-15,2,2,0,2,72900,0.738,53770.59329
9,Dorn,-15,2,2,0,2,72900,0.087,6331.748568
9,HighGarden,-15,2,2,0,2,72900,0.829,60460.63508
6,TheWall,-15,2,2,0,2,72900,0.329,23954.61935
1,TheWall,-11,2,2,1,2,87500,0.280,24458.92879
9,Dorn,-15,2,2,0,2,72900,0.283,20619.0539
9,Dorn,-15,2,2,0,2,72900,0.270,19666.88168
9,Dorn,-15,2,2,0,2,72900,0.426,31024.25791
7,Dorn,-15,2,2,0,2,72900,0.892,65029.33271
